,CAGR,Ann. Return (arith),Ann. Volatility,Sharpe,Sortino,Max Drawdown,Calmar,Active Return,Tracking Error,Information Ratio,Beta,Alpha,Up Capture,Down Capture,Annual Turnover,Annual Cost Drag
40/60,0.06830093656167846,0.0691588128344382,0.07626209599270782,0.745796773065762,1.1592734776176055,0.18683717531404254,0.36556395399831876,-0.020581424092501906,0.03232736646918082,-0.6366563794215385,0.7218280423120514,0.0009910312299208114,0.7354286305591933,0.7005461605483521,0.05719657193050952,0.00011439314386101902
60/40,0.08769264481958094,0.08974023692694014,0.10369900734170533,0.7470668844579478,1.1539467277299031,0.268935639200963,0.3260729782044705,0.0,0.0,,1.0,0.0,1.0,1.0,,0.0
Buy & Hold 60/40,0.09960918010877995,0.10203144268523676,0.11572579127868354,0.776557595006076,1.213745429117931,0.2454397403095696,0.4058396573559943,0.012291205758296616,0.02122831723657383,0.5790004747583266,1.1017499614804824,0.00440041577234742,1.1198064443770492,1.1073496768393585,0.0,0.0
Equal Weight,0.062328287994967146,0.06567359833302945,0.10015020044672944,0.5347475487872672,0.7991152983372658,0.25474978408834603,0.24466473335008593,-0.024066638593910672,0.046939522976956825,-0.5127158749722547,0.8639166498139377,-0.013513267159872628,0.7909705525661336,0.855164070418155,0.07948638703834521,0.0001589727740766904
Glide Path 30->65,0.065447068893149,0.07100734114731391,0.12077450722657737,0.48723673165146114,0.7076133790467566,0.33119498937346525,0.19760887390524182,-0.018732895779626203,0.05741821572660919,-0.3262535337012373,1.0249289425071413,-0.020666154987133496,0.9146209884707449,1.0479046748675052,0.04665973811682585,9.33194762336517e-05
Inverse Vol,0.05363469549491495,0.05549238324185595,0.07899366026721938,0.5492669265078821,0.8247729865670803,0.19023649126441233,0.2819369466837324,-0.034247853685084186,0.05541019898997892,-0.6180785182034448,0.6473805221570569,-0.006901934294761384,0.6025987760930419,0.5951481364328793,0.3311737216402131,0.0006623474432804263
Min Variance,0.031324891424854284,0.03199732609131829,0.047353418808831337,0.41578117616956295,0.6612429312775805,0.1644677080621696,0.19046226030591562,-0.05774291083562183,0.08640278525151114,-0.668299183498971,0.2571440583222404,-0.00013384504036744252,0.26594304248571105,0.1887377204794797,0.3344364020229267,0.0006688728040458533
Risk Parity (ERC),0.05687702195734401,0.05841466007253705,0.07691894146542078,0.6029668117466813,0.9200216394034384,0.17282904769212903,0.329094111880212,-0.03132557685440305,0.0586127490466506,-0.5344498827289373,0.6153611786108203,-0.0014965320482561335,0.5905990846091612,0.5432442955371554,0.20115021194620822,0.00040230042389241636
Target Vol 10%,0.05094634785670005,0.05475650680710305,0.09846640319291947,0.4336349759201751,0.5974019018200012,0.2501271406566915,0.2036818064722762,-0.034983730119837055,0.05119465935641821,-0.683347258476312,0.8289510325108568,-0.021718747409949973,0.7382664053801415,0.8651712490100631,0.2132490666214484,0.00042649813324289684
